source,target,index,start_x,start_y,start_z,rotate,rotation_plane,rotation_degree_idx,coverage
example_data.h5,example_data_HR.h5,0,0,12,20,0,0,0,0.717
example_data.h5,example_data_HR.h5,0,0,12,20,1,1,1,0.717
example_data.h5,example_data_HR.h5,0,0,12,20,1,1,2,0.717
example_data.h5,example_data_HR.h5,0,0,12,20,1,1,3,0.717
example_data.h5,example_data_HR.h5,0,0,12,20,1,2,1,0.717
example_data.h5,example_data_HR.h5,0,0,12,20,1,2,2,0.717
example_data.h5,example_data_HR.h5,0,0,12,20,1,2,3,0.717
example_data.h5,example_data_HR.h5,0,0,12,20,1,3,1,0.717
example_data.h5,example_data_HR.h5,0,0,12,20,1,3,2,0.717
example_data.h5,example_data_HR.h5,0,0,12,20,1,3,3,0.717
example_data.h5,example_data_HR.h5,0,0,21,9,0,0,0,0.273
example_data.h5,example_data_HR.h5,0,0,21,9,1,1,1,0.273
example_data.h5,example_data_HR.h5,0,0,21,9,1,1,2,0.273
example_data.h5,example_data_HR.h5,0,0,21,9,1,1,3,0.273
example_data.h5,example_data_HR.h5,0,0,21,9,1,2,1,0.273
example_data.h5,example_data_HR.h5,0,0,21,9,1,2,2,0.273
example_data.h5,example_data_HR.h5,0,0,21,9,1,2,3,0.273
example_data.h5,example_data_HR.h5,0,0,21,9,1,3,1,0.273
example_data.h5,example_data_HR.h5,0,0,21,9,1,3,2,0.273
example_data.h5,example_data_HR.h5,0,0,21,9,1,3,3,0.273
example_data.h5,example_data_HR.h5,0,0,12,14,0,0,0,0.721
example_data.h5,example_data_HR.h5,0,0,12,14,1,1,1,0.721
example_data.h5,example_data_HR.h5,0,0,12,14,1,1,2,0.721
example_data.h5,example_data_HR.h5,0,0,12,14,1,1,3,0.721
example_data.h5,example_data_HR.h5,0,0,12,14,1,2,1,0.721
example_data.h5,example_data_HR.h5,0,0,12,14,1,2,2,0.721
example_data.h5,example_data_HR.h5,0,0,12,14,1,2,3,0.721
example_data.h5,example_data_HR.h5,0,0,12,14,1,3,1,0.721
example_data.h5,example_data_HR.h5,0,0,12,14,1,3,2,0.721
example_data.h5,example_data_HR.h5,0,0,12,14,1,3,3,0.721
example_data.h5,example_data_HR.h5,0,0,2,10,0,0,0,0.303
example_data.h5,example_data_HR.h5,0,0,2,10,1,1,1,0.303
example_data.h5,example_data_HR.h5,0,0,2,10,1,1,2,0.303
example_data.h5,example_data_HR.h5,0,0,2,10,1,1,3,0.303
example_data.h5,example_data_HR.h5,0,0,2,10,1,2,1,0.303
example_data.h5,example_data_HR.h5,0,0,2,10,1,2,2,0.303
example_data.h5,example_data_HR.h5,0,0,2,10,1,2,3,0.303
example_data.h5,example_data_HR.h5,0,0,2,10,1,3,1,0.303
example_data.h5,example_data_HR.h5,0,0,2,10,1,3,2,0.303
example_data.h5,example_data_HR.h5,0,0,2,10,1,3,3,0.303
example_data.h5,example_data_HR.h5,0,0,19,13,0,0,0,0.542
example_data.h5,example_data_HR.h5,0,0,19,13,1,1,1,0.542
example_data.h5,example_data_HR.h5,0,0,19,13,1,1,2,0.542
example_data.h5,example_data_HR.h5,0,0,19,13,1,1,3,0.542
example_data.h5,example_data_HR.h5,0,0,19,13,1,2,1,0.542
example_data.h5,example_data_HR.h5,0,0,19,13,1,2,2,0.542
example_data.h5,example_data_HR.h5,0,0,19,13,1,2,3,0.542
example_data.h5,example_data_HR.h5,0,0,19,13,1,3,1,0.542
example_data.h5,example_data_HR.h5,0,0,19,13,1,3,2,0.542
example_data.h5,example_data_HR.h5,0,0,19,13,1,3,3,0.542
